length,net_charge,% Hydrophobe,Boman Index
33.0,4.0,54.0,0.23
34.0,4.0,23.0,1.19
54.0,6.0,33.0,1.95
49.0,5.0,36.0,2.43
34.0,1.0,50.0,0.55
18.0,4.0,16.0,2.97
18.0,4.0,16.0,2.97
12.0,4.0,66.0,2.52
43.0,9.0,27.0,2.0
60.0,17.0,20.0,3.29
37.0,2.0,51.0,1.46
13.0,1.0,53.0,-0.02
13.0,1.0,53.0,0.12
16.0,2.0,56.0,-1.01
16.0,2.0,56.0,-1.01
16.0,2.0,56.0,-1.01
16.0,2.0,56.0,-1.06
16.0,2.0,56.0,-0.89
16.0,2.0,56.0,-1.06
17.0,2.0,52.0,-0.59
17.0,2.0,52.0,-0.34
17.0,2.0,52.0,-0.47
97.0,4.0,35.0,2.44
12.0,3.0,16.0,0.84
13.0,4.0,15.0,1.13
25.0,8.0,48.0,2.75
21.0,-1.0,57.0,6.18
21.0,-1.0,61.0,-0.94
17.0,8.0,47.0,1.12
21.0,5.0,28.0,2.84
44.0,2.0,36.0,1.74
37.0,2.0,48.0,1.46
37.0,2.0,51.0,1.43
36.0,2.0,52.0,1.5
26.0,6.0,42.0,0.81
38.0,6.0,44.0,1.55
40.0,10.0,40.0,2.69
42.0,10.0,38.0,2.68
41.0,8.0,43.0,2.43
42.0,6.0,42.0,1.92
42.0,10.0,38.0,2.44
40.0,10.0,40.0,2.6
38.0,9.0,42.0,2.36
40.0,9.0,42.0,2.34
40.0,8.0,42.0,2.18
38.0,7.0,39.0,1.78
38.0,6.0,42.0,1.28
42.0,6.0,40.0,1.18
24.0,3.0,50.0,-0.2
27.0,3.0,48.0,-0.11
27.0,4.0,48.0,-0.11
25.0,3.0,52.0,-0.52
25.0,2.0,52.0,-0.6
27.0,3.0,48.0,-0.27
21.0,2.0,52.0,-1.84
21.0,3.0,52.0,-1.97
21.0,2.0,52.0,-1.97
27.0,4.0,40.0,0.05
27.0,4.0,40.0,-0.03
27.0,4.0,40.0,-0.02
27.0,4.0,51.0,-0.51
27.0,3.0,44.0,-0.07
20.0,2.0,55.0,-1.75
20.0,0.0,50.0,-1.16
20.0,0.0,50.0,-0.95
17.0,4.0,58.0,-0.77
17.0,3.0,52.0,-0.07
17.0,3.0,64.0,-0.85
17.0,3.0,58.0,-0.45
17.0,2.0,58.0,-1.63
24.0,4.0,62.0,-0.36
23.0,2.0,60.0,0.27
24.0,4.0,62.0,-0.48
24.0,4.0,66.0,-1.19
33.0,3.0,48.0,0.02
33.0,3.0,48.0,0.37
33.0,4.0,45.0,0.32
34.0,4.0,44.0,0.53
29.0,3.0,44.0,0.75
46.0,6.0,41.0,0.98
46.0,5.0,43.0,0.62
46.0,5.0,43.0,0.62
37.0,5.0,51.0,-0.32
37.0,5.0,51.0,-0.21
33.0,6.0,51.0,0.25
33.0,4.0,51.0,0.56
33.0,4.0,51.0,0.44
37.0,4.0,45.0,0.35
24.0,4.0,62.0,-0.75
24.0,2.0,62.0,-1.26
33.0,3.0,45.0,0.43
33.0,5.0,48.0,0.43
37.0,4.0,45.0,0.45
13.0,2.0,61.0,-1.54
13.0,2.0,61.0,-1.83
13.0,1.0,61.0,-2.15
13.0,1.0,61.0,-1.74
13.0,2.0,61.0,-2.26
13.0,2.0,61.0,-1.14
10.0,2.0,60.0,-1.39
13.0,3.0,61.0,-0.12
21.0,6.0,28.0,2.81
45.0,5.0,42.0,2.62
13.0,2.0,69.0,-2.24
13.0,2.0,69.0,-2.25
13.0,2.0,69.0,-1.91
13.0,2.0,69.0,-1.85
13.0,2.0,69.0,-1.91
13.0,2.0,69.0,-2.28
14.0,3.0,57.0,-0.4
14.0,3.0,64.0,-1.88
13.0,2.0,61.0,-2.26
33.0,5.0,45.0,0.53
25.0,4.0,52.0,-0.05
31.0,3.0,45.0,0.27
32.0,3.0,40.0,0.34
24.0,4.0,62.0,-0.36
32.0,4.0,46.0,0.39
32.0,4.0,50.0,0.01
28.0,3.0,50.0,0.22
28.0,3.0,46.0,0.78
25.0,4.0,52.0,-0.13
27.0,4.0,48.0,-0.31
31.0,3.0,48.0,0.13
37.0,8.0,48.0,0.86
36.0,8.0,41.0,0.53
35.0,6.0,48.0,1.42
35.0,7.0,48.0,0.88
39.0,5.0,41.0,1.93
39.0,5.0,41.0,1.91
36.0,2.0,50.0,1.36
39.0,5.0,43.0,1.79
35.0,7.0,37.0,0.64
31.0,5.0,35.0,1.85
39.0,5.0,41.0,1.49
13.0,3.0,69.0,-1.17
35.0,8.0,37.0,3.61
35.0,9.0,37.0,3.69
37.0,7.0,45.0,0.84
84.0,-1.0,28.0,2.5
6.0,3.0,50.0,3.06
19.0,7.0,47.0,-0.43
11.0,6.0,54.0,0.07
23.0,3.0,43.0,0.41
48.0,4.0,33.0,1.53
26.0,6.0,46.0,0.57
42.0,10.0,45.0,1.16
51.0,9.0,31.0,2.11
32.0,1.0,40.0,1.53
13.0,4.0,53.0,1.06
18.0,5.0,55.0,2.91
13.0,4.0,53.0,2.9
25.0,8.0,28.0,3.93
44.0,6.0,31.0,2.01
29.0,9.0,37.0,2.16
18.0,6.0,55.0,3.54
34.0,3.0,50.0,0.16
34.0,3.0,52.0,-0.14
30.0,5.0,53.0,-0.25
28.0,4.0,71.0,-0.91
29.0,6.0,55.0,0.18
26.0,3.0,53.0,0.31
28.0,3.0,50.0,0.73
30.0,3.0,43.0,0.31
29.0,3.0,55.0,-0.48
25.0,4.0,44.0,0.2
19.0,1.0,42.0,-0.04
16.0,3.0,12.0,3.29
16.0,3.0,12.0,2.75
20.0,3.0,15.0,3.18
26.0,2.0,15.0,2.9
19.0,5.0,10.0,3.65
30.0,6.0,43.0,2.61
31.0,7.0,41.0,3.01
38.0,13.0,5.0,4.94
30.0,3.0,53.0,1.07
29.0,3.0,51.0,1.17
30.0,2.0,50.0,1.42
33.0,4.0,51.0,1.4
32.0,4.0,40.0,2.6
32.0,2.0,40.0,1.71
38.0,3.0,31.0,1.68
35.0,6.0,45.0,1.4
33.0,7.0,21.0,6.06
33.0,8.0,39.0,4.02
34.0,8.0,41.0,3.26
33.0,9.0,51.0,3.33
33.0,8.0,54.0,2.73
33.0,5.0,39.0,2.8
12.0,2.0,33.0,1.64
18.0,6.0,33.0,4.39
20.0,3.0,60.0,0.46
25.0,2.0,52.0,0.89
30.0,4.0,33.0,1.58
18.0,7.0,44.0,3.65
42.0,4.0,42.0,1.58
44.0,2.0,43.0,2.08
64.0,5.0,53.0,0.48
37.0,2.0,35.0,1.04
14.0,5.0,57.0,-0.2
14.0,4.0,71.0,-0.96
36.0,3.0,30.0,2.2
37.0,3.0,27.0,1.94
34.0,3.0,44.0,0.43
34.0,3.0,44.0,0.37
32.0,2.0,43.0,0.63
34.0,8.0,38.0,1.71
32.0,5.0,28.0,3.08
24.0,3.0,45.0,-0.31
21.0,5.0,61.0,-0.76
18.0,8.0,44.0,4.27
18.0,8.0,44.0,3.75
17.0,7.0,47.0,2.98
17.0,7.0,47.0,3.53
17.0,7.0,47.0,3.53
40.0,3.0,42.0,1.32
34.0,8.0,38.0,3.87
16.0,6.0,50.0,3.18
18.0,6.0,44.0,2.77
18.0,5.0,50.0,1.76
18.0,6.0,44.0,2.82
32.0,8.0,37.0,3.59
32.0,7.0,37.0,3.23
29.0,5.0,41.0,2.9
31.0,4.0,48.0,1.54
51.0,4.0,45.0,1.46
40.0,3.0,45.0,1.29
34.0,4.0,47.0,1.89
40.0,3.0,45.0,0.99
39.0,6.0,41.0,1.7
39.0,5.0,43.0,1.64
39.0,5.0,43.0,1.86
40.0,3.0,42.0,2.0
47.0,5.0,31.0,2.94
38.0,9.0,42.0,1.71
47.0,6.0,36.0,2.32
46.0,6.0,32.0,1.83
22.0,4.0,18.0,2.71
25.0,4.0,40.0,0.33
25.0,1.0,56.0,-1.04
25.0,1.0,56.0,-1.21
25.0,0.0,56.0,-1.04
25.0,1.0,52.0,-0.57
25.0,1.0,56.0,-1.13
24.0,2.0,58.0,-0.98
24.0,3.0,54.0,-0.61
24.0,3.0,54.0,-0.71
24.0,2.0,54.0,-0.98
25.0,2.0,44.0,0.14
25.0,1.0,44.0,0.45
25.0,1.0,44.0,0.04
25.0,1.0,48.0,0.45
22.0,2.0,40.0,0.82
22.0,1.0,40.0,0.79
22.0,1.0,40.0,0.94
22.0,1.0,40.0,1.36
23.0,2.0,43.0,0.33
23.0,2.0,47.0,0.29
23.0,2.0,43.0,0.47
22.0,1.0,68.0,-1.37
23.0,1.0,56.0,-0.04
18.0,2.0,55.0,-0.32
26.0,1.0,42.0,0.42
39.0,9.0,43.0,1.97
33.0,4.0,48.0,0.81
40.0,7.0,45.0,1.47
36.0,5.0,47.0,1.21
38.0,11.0,31.0,3.4
25.0,4.0,32.0,1.55
41.0,4.0,34.0,2.15
43.0,10.0,25.0,2.68
37.0,4.0,27.0,2.3
34.0,7.0,38.0,3.29
30.0,2.0,50.0,0.4
31.0,2.0,48.0,0.28
23.0,5.0,52.0,-0.38
23.0,5.0,52.0,0.02
23.0,5.0,52.0,-0.7
23.0,5.0,52.0,-0.16
23.0,6.0,52.0,-0.5
34.0,6.0,29.0,1.74
31.0,2.0,48.0,0.09
45.0,11.0,33.0,2.87
33.0,1.0,39.0,1.77
32.0,8.0,37.0,2.83
51.0,4.0,39.0,1.63
51.0,6.0,39.0,1.77
21.0,1.0,23.0,3.01
25.0,6.0,36.0,2.6
23.0,6.0,39.0,2.14
24.0,6.0,37.0,2.33
38.0,3.0,21.0,2.96
31.0,3.0,54.0,0.04
44.0,-2.0,40.0,1.63
46.0,2.0,28.0,1.98
47.0,6.0,36.0,2.35
47.0,6.0,36.0,2.4
36.0,4.0,47.0,0.29
39.0,8.0,46.0,1.53
39.0,8.0,46.0,1.64
41.0,5.0,41.0,1.22
21.0,2.0,57.0,1.0
11.0,1.0,54.0,0.0
12.0,1.0,66.0,-0.54
12.0,1.0,58.0,-0.66
11.0,1.0,63.0,-0.73
39.0,12.0,28.0,3.08
21.0,6.0,33.0,3.34
27.0,7.0,33.0,3.38
37.0,6.0,35.0,2.99
23.0,4.0,30.0,2.45
35.0,7.0,42.0,2.81
36.0,8.0,50.0,2.01
33.0,4.0,42.0,2.04
33.0,2.0,39.0,0.11
19.0,3.0,52.0,-0.04
19.0,2.0,52.0,-0.04
19.0,3.0,52.0,0.01
19.0,1.0,52.0,-0.24
19.0,3.0,52.0,-0.69
19.0,2.0,52.0,-0.35
19.0,3.0,52.0,-0.12
17.0,3.0,58.0,0.37
17.0,3.0,52.0,0.3
17.0,3.0,52.0,0.01
17.0,3.0,52.0,-0.31
13.0,1.0,61.0,-0.35
19.0,5.0,36.0,1.43
19.0,4.0,36.0,1.14
32.0,9.0,40.0,0.91
32.0,10.0,40.0,1.21
34.0,10.0,47.0,2.66
34.0,9.0,41.0,2.83
5.0,1.0,40.0,0.64
13.0,2.0,15.0,3.73
12.0,0.0,50.0,0.13
17.0,5.0,23.0,2.41
19.0,5.0,26.0,2.01
25.0,6.0,48.0,1.1
25.0,6.0,48.0,1.47
20.0,4.0,50.0,1.44
38.0,6.0,34.0,2.4
34.0,1.0,52.0,0.25
18.0,3.0,16.0,2.92
25.0,2.0,56.0,-1.0
35.0,6.0,45.0,1.29
35.0,6.0,48.0,1.22
35.0,7.0,48.0,1.22
35.0,6.0,45.0,1.2
37.0,2.0,51.0,1.47
16.0,2.0,56.0,-1.01
16.0,2.0,56.0,-1.01
16.0,2.0,56.0,-1.06
43.0,4.0,48.0,1.48
40.0,3.0,47.0,1.62
22.0,5.0,27.0,3.27
14.0,2.0,64.0,-1.11
21.0,4.0,61.0,-0.71
32.0,3.0,28.0,1.58
32.0,3.0,31.0,1.43
32.0,2.0,31.0,1.93
15.0,2.0,13.0,4.54
15.0,2.0,13.0,4.54
16.0,2.0,25.0,3.8
16.0,2.0,18.0,4.11
27.0,10.0,40.0,1.64
28.0,7.0,42.0,0.81
34.0,8.0,32.0,4.28
23.0,6.0,47.0,2.56
37.0,13.0,37.0,1.93
37.0,3.0,32.0,3.25
41.0,9.0,39.0,1.18
42.0,10.0,42.0,1.31
44.0,4.0,40.0,1.28
44.0,4.0,40.0,1.33
30.0,7.0,46.0,0.65
30.0,5.0,43.0,0.81
30.0,6.0,40.0,1.15
29.0,3.0,48.0,0.75
30.0,5.0,50.0,-0.03
18.0,2.0,50.0,-1.11
19.0,2.0,47.0,-1.1
24.0,5.0,50.0,-0.32
24.0,5.0,50.0,-0.43
45.0,7.0,35.0,1.46
25.0,6.0,48.0,-0.14
25.0,6.0,48.0,-0.14
26.0,7.0,46.0,0.42
26.0,5.0,46.0,-0.11
24.0,5.0,54.0,-0.52
20.0,2.0,65.0,-1.57
50.0,7.0,40.0,1.28
50.0,7.0,36.0,1.63
62.0,9.0,29.0,1.54
47.0,5.0,34.0,1.94
39.0,11.0,20.0,3.04
13.0,2.0,23.0,1.14
13.0,2.0,30.0,0.74
25.0,5.0,52.0,1.66
36.0,0.0,22.0,2.69
45.0,10.0,35.0,2.65
47.0,3.0,29.0,3.77
36.0,5.0,50.0,2.14
84.0,13.0,2.0,0.68
13.0,1.0,69.0,-1.55
13.0,1.0,69.0,-1.55
13.0,1.0,69.0,-1.6
14.0,1.0,64.0,-1.61
55.0,5.0,34.0,1.89
69.0,14.0,33.0,2.59
69.0,30.0,36.0,1.91
71.0,2.0,23.0,2.97
74.0,5.0,21.0,2.66
29.0,6.0,55.0,-0.61
29.0,6.0,55.0,-0.44
32.0,5.0,56.0,-1.15
36.0,6.0,55.0,-0.78
37.0,12.0,29.0,3.01
27.0,2.0,48.0,-0.04
47.0,5.0,36.0,1.84
47.0,5.0,34.0,1.85
55.0,9.0,34.0,1.95
55.0,9.0,30.0,2.06
27.0,4.0,48.0,-0.11
25.0,3.0,44.0,-0.04
22.0,3.0,50.0,0.21
18.0,3.0,55.0,-1.32
76.0,5.0,36.0,1.45
78.0,6.0,42.0,1.92
13.0,2.0,53.0,-0.8
14.0,7.0,28.0,3.48
14.0,4.0,50.0,-0.45
47.0,-2.0,38.0,1.11
20.0,1.0,50.0,-0.99
31.0,6.0,41.0,0.76
50.0,1.0,34.0,2.74
37.0,5.0,32.0,2.94
39.0,5.0,30.0,1.83
33.0,3.0,39.0,2.13
33.0,8.0,39.0,3.76
31.0,3.0,38.0,2.32
33.0,7.0,42.0,2.99
30.0,3.0,56.0,0.9
34.0,7.0,44.0,3.26
18.0,5.0,55.0,2.81
20.0,-1.0,20.0,3.41
10.0,4.0,50.0,0.3
14.0,4.0,71.0,-0.96
13.0,1.0,30.0,2.01
12.0,4.0,66.0,2.53
36.0,4.0,36.0,1.3
24.0,3.0,66.0,-1.32
24.0,3.0,62.0,-0.98
24.0,4.0,62.0,-0.98
24.0,4.0,54.0,-0.49
20.0,3.0,60.0,-1.11
29.0,5.0,41.0,0.45
29.0,4.0,41.0,0.49
17.0,4.0,58.0,0.12
24.0,4.0,66.0,-1.15
24.0,3.0,66.0,-1.31
24.0,3.0,66.0,-1.23
24.0,4.0,66.0,-1.0
24.0,4.0,66.0,-0.95
24.0,4.0,66.0,-1.07
24.0,4.0,66.0,-1.02
24.0,4.0,66.0,-1.11
24.0,3.0,66.0,-0.95
24.0,4.0,66.0,-1.11
24.0,4.0,66.0,-0.79
24.0,3.0,66.0,-0.74
24.0,4.0,66.0,-0.93
22.0,3.0,45.0,0.7
22.0,3.0,45.0,0.98
24.0,2.0,41.0,0.92
24.0,2.0,45.0,0.73
23.0,1.0,39.0,0.9
23.0,2.0,43.0,0.53
38.0,4.0,36.0,1.27
21.0,-1.0,33.0,-0.64
31.0,1.0,45.0,0.99
56.0,7.0,37.0,1.87
46.0,1.0,39.0,2.08
42.0,7.0,45.0,1.28
35.0,8.0,48.0,0.69
35.0,7.0,45.0,0.88
35.0,7.0,42.0,1.02
35.0,7.0,45.0,0.88
51.0,13.0,31.0,2.43
20.0,5.0,35.0,1.31
20.0,5.0,35.0,1.78
21.0,7.0,28.0,4.97
25.0,4.0,40.0,2.04
18.0,7.0,50.0,0.59
45.0,1.0,26.0,2.07
19.0,5.0,36.0,2.77
20.0,-2.0,55.0,-1.1
34.0,4.0,35.0,1.92
15.0,0.0,93.0,-3.31
17.0,3.0,52.0,-1.16
23.0,4.0,34.0,0.02
23.0,1.0,56.0,-0.91
20.0,3.0,65.0,-1.37
20.0,7.0,35.0,3.16
24.0,12.0,8.0,4.81
14.0,6.0,57.0,0.45
21.0,3.0,52.0,-1.17
33.0,3.0,48.0,0.32
15.0,1.0,46.0,0.89
30.0,4.0,53.0,0.06
28.0,8.0,0.0,0.69
38.0,8.0,0.0,0.72
20.0,3.0,65.0,-1.34
20.0,3.0,65.0,-1.13
20.0,3.0,65.0,-1.13
25.0,6.0,52.0,0.24
27.0,6.0,40.0,1.33
20.0,6.0,35.0,3.38
20.0,6.0,35.0,3.96
32.0,12.0,9.0,4.72
12.0,2.0,58.0,-2.42
14.0,2.0,64.0,-0.71
12.0,6.0,8.0,4.25
41.0,7.0,36.0,0.9
20.0,3.0,55.0,-1.62
20.0,3.0,55.0,-1.81
20.0,3.0,50.0,-1.55
7.0,-7.0,0.0,8.72
32.0,1.0,43.0,0.56
29.0,2.0,48.0,-0.37
28.0,8.0,28.0,2.06
20.0,0.0,40.0,2.05
25.0,3.0,52.0,0.2
20.0,4.0,35.0,3.1
56.0,7.0,44.0,0.93
88.0,3.0,34.0,2.8
30.0,6.0,46.0,0.68
18.0,1.0,61.0,-0.63
38.0,5.0,34.0,1.97
25.0,3.0,48.0,0.25
14.0,2.0,57.0,0.64
12.0,2.0,58.0,-2.06
25.0,2.0,48.0,0.05
22.0,1.0,54.0,0.68
21.0,1.0,57.0,0.31
19.0,2.0,57.0,-0.2
18.0,2.0,44.0,1.83
27.0,9.0,37.0,3.3
40.0,1.0,32.0,1.4
46.0,6.0,36.0,1.92
6.0,2.0,50.0,4.47
27.0,5.0,37.0,1.27
10.0,-1.0,30.0,2.49
42.0,10.0,40.0,1.06
19.0,8.0,15.0,4.0
21.0,2.0,52.0,-0.77
26.0,8.0,46.0,1.68
43.0,4.0,39.0,1.75
25.0,0.0,28.0,2.43
35.0,-1.0,42.0,-0.26
40.0,3.0,45.0,0.56
44.0,4.0,40.0,0.97
47.0,1.0,36.0,3.39
17.0,2.0,58.0,-0.48
17.0,2.0,58.0,-0.47
33.0,3.0,45.0,-0.04
15.0,2.0,73.0,-1.94
38.0,5.0,44.0,0.05
20.0,3.0,70.0,-1.84
26.0,3.0,46.0,1.03
26.0,3.0,42.0,1.35
28.0,3.0,46.0,0.47
46.0,7.0,41.0,0.85
46.0,5.0,43.0,0.56
33.0,3.0,48.0,0.47
33.0,3.0,45.0,0.3
37.0,4.0,48.0,0.11
24.0,4.0,62.0,-0.87
21.0,1.0,52.0,-1.49
21.0,3.0,52.0,-1.24
21.0,1.0,52.0,-1.4
34.0,5.0,50.0,0.35
30.0,3.0,50.0,0.9
26.0,7.0,38.0,2.87
31.0,3.0,45.0,0.63
13.0,1.0,69.0,-2.32
33.0,4.0,45.0,0.0
22.0,3.0,54.0,-0.36
13.0,1.0,69.0,-2.08
21.0,-1.0,61.0,-0.98
13.0,1.0,61.0,-1.36
32.0,4.0,46.0,0.08
24.0,4.0,66.0,-1.26
66.0,4.0,25.0,2.22
13.0,1.0,61.0,-2.33
13.0,0.0,61.0,-2.49
14.0,3.0,57.0,-0.53
13.0,2.0,61.0,-1.56
21.0,3.0,47.0,0.12
23.0,3.0,47.0,0.87
20.0,3.0,75.0,-1.52
20.0,3.0,75.0,-1.56
20.0,3.0,70.0,-1.84
46.0,7.0,41.0,0.89
17.0,3.0,58.0,-2.37
33.0,5.0,48.0,-0.18
33.0,3.0,45.0,0.02
12.0,5.0,41.0,4.02
33.0,3.0,45.0,-0.04
37.0,4.0,45.0,-0.09
14.0,0.0,64.0,-2.09
60.0,-12.0,31.0,3.35
29.0,7.0,51.0,1.31
28.0,5.0,50.0,0.51
28.0,6.0,50.0,0.5
27.0,5.0,51.0,0.59
27.0,5.0,51.0,0.25
31.0,3.0,41.0,0.98
31.0,3.0,41.0,0.85
31.0,3.0,41.0,0.78
48.0,4.0,39.0,0.42
48.0,4.0,39.0,0.35
35.0,6.0,45.0,0.43
38.0,6.0,36.0,2.87
20.0,4.0,35.0,3.68
30.0,6.0,30.0,3.47
31.0,7.0,29.0,3.83
23.0,5.0,34.0,3.01
29.0,6.0,37.0,2.95
77.0,-1.0,49.0,0.58
43.0,4.0,37.0,0.73
44.0,3.0,36.0,0.86
43.0,2.0,34.0,1.06
44.0,3.0,34.0,1.12
37.0,2.0,35.0,1.05
43.0,2.0,41.0,0.55
41.0,3.0,39.0,1.02
22.0,2.0,50.0,-1.14
26.0,2.0,50.0,-0.76
21.0,1.0,57.0,-1.77
33.0,0.0,45.0,-0.12
33.0,1.0,45.0,-0.35
33.0,0.0,45.0,-0.06
33.0,1.0,45.0,-0.35
33.0,0.0,45.0,0.0
25.0,4.0,56.0,-0.26
24.0,3.0,66.0,-1.17
24.0,4.0,66.0,-1.14
46.0,6.0,39.0,1.0
46.0,6.0,41.0,1.05
37.0,5.0,48.0,-0.01
28.0,3.0,50.0,0.69
28.0,2.0,46.0,1.21
28.0,3.0,46.0,0.58
28.0,3.0,46.0,0.75
28.0,2.0,50.0,0.69
27.0,2.0,44.0,1.43
