length,net_charge,% Hydrophobe,Boman Index
13.0,2.0,61.0,-2.26
12.0,1.0,58.0,-1.77
24.0,3.0,50.0,0.05
37.0,4.0,48.0,0.01
37.0,5.0,48.0,0.43
37.0,6.0,48.0,0.73
13.0,0.0,69.0,-2.01
13.0,1.0,69.0,-2.58
13.0,-1.0,38.0,-0.02
11.0,-3.0,36.0,1.06
11.0,-3.0,36.0,1.25
11.0,-2.0,36.0,0.88
11.0,-3.0,36.0,1.34
11.0,-2.0,36.0,1.15
44.0,1.0,34.0,2.56
23.0,3.0,43.0,0.44
24.0,-1.0,33.0,0.57
50.0,6.0,32.0,3.42
37.0,8.0,35.0,1.78
43.0,16.0,27.0,3.34
38.0,6.0,26.0,3.33
37.0,5.0,45.0,-0.06
33.0,5.0,39.0,2.66
43.0,11.0,25.0,2.82
52.0,11.0,25.0,2.3
60.0,20.0,23.0,4.24
94.0,30.0,19.0,3.81
28.0,3.0,50.0,0.22
26.0,9.0,50.0,2.33
27.0,3.0,37.0,3.34
40.0,7.0,35.0,2.79
79.0,7.0,24.0,0.73
79.0,7.0,24.0,0.72
37.0,10.0,35.0,3.03
30.0,8.0,43.0,1.04
66.0,4.0,24.0,2.14
23.0,4.0,52.0,-0.34
13.0,2.0,61.0,-2.33
13.0,1.0,53.0,-0.43
13.0,1.0,53.0,-0.62
23.0,2.0,43.0,0.57
23.0,1.0,43.0,0.57
23.0,1.0,43.0,0.66
20.0,2.0,50.0,-0.69
21.0,3.0,47.0,-0.39
20.0,2.0,45.0,-0.69
21.0,3.0,38.0,-0.35
21.0,3.0,42.0,-0.39
21.0,3.0,42.0,-0.3
19.0,6.0,10.0,4.99
17.0,5.0,47.0,2.47
37.0,5.0,29.0,2.3
35.0,4.0,28.0,2.05
39.0,5.0,38.0,1.57
37.0,7.0,35.0,2.68
37.0,7.0,35.0,2.57
37.0,5.0,24.0,1.54
45.0,6.0,37.0,1.79
46.0,6.0,39.0,1.64
47.0,5.0,36.0,3.43
47.0,8.0,36.0,3.48
47.0,6.0,38.0,3.22
47.0,5.0,31.0,3.4
47.0,9.0,38.0,2.99
24.0,8.0,50.0,1.52
11.0,2.0,54.0,0.02
18.0,6.0,55.0,3.44
18.0,4.0,55.0,2.19
11.0,0.0,45.0,-0.87
21.0,6.0,52.0,2.61
21.0,6.0,52.0,2.57
29.0,0.0,37.0,0.67
31.0,1.0,35.0,1.27
38.0,10.0,47.0,2.88
38.0,9.0,44.0,2.78
37.0,4.0,37.0,3.14
37.0,7.0,37.0,2.8
37.0,10.0,32.0,2.44
37.0,5.0,35.0,2.26
26.0,2.0,38.0,-0.68
23.0,2.0,43.0,-0.78
23.0,2.0,43.0,-0.37
23.0,2.0,43.0,-0.42
94.0,3.0,39.0,1.94
42.0,7.0,38.0,1.86
38.0,6.0,34.0,1.58
41.0,3.0,31.0,2.5
40.0,4.0,42.0,2.51
34.0,2.0,29.0,2.14
34.0,1.0,32.0,1.92
37.0,4.0,27.0,2.46
42.0,-4.0,33.0,2.41
42.0,2.0,30.0,1.98
43.0,0.0,37.0,1.72
44.0,0.0,36.0,1.96
51.0,2.0,33.0,2.26
60.0,-3.0,25.0,2.75
39.0,0.0,43.0,1.93
24.0,2.0,50.0,1.07
19.0,1.0,57.0,-0.64
19.0,1.0,57.0,-0.54
19.0,1.0,52.0,-0.3
19.0,2.0,57.0,-0.37
17.0,2.0,58.0,-0.33
19.0,2.0,63.0,-0.71
25.0,3.0,56.0,-0.45
24.0,4.0,54.0,0.57
46.0,2.0,50.0,0.7
58.0,0.0,62.0,-0.81
69.0,4.0,56.0,-0.6
82.0,5.0,50.0,-0.23
25.0,2.0,56.0,-0.73
21.0,1.0,52.0,-1.28
23.0,3.0,43.0,0.08
48.0,10.0,47.0,1.39
37.0,8.0,37.0,1.81
37.0,7.0,37.0,1.58
37.0,7.0,37.0,1.99
37.0,8.0,37.0,1.75
24.0,3.0,41.0,0.59
20.0,4.0,50.0,0.55
26.0,9.0,38.0,2.53
49.0,10.0,36.0,3.14
24.0,3.0,45.0,0.21
25.0,4.0,40.0,0.97
25.0,7.0,44.0,0.86
19.0,5.0,47.0,1.02
25.0,6.0,40.0,0.9
25.0,6.0,40.0,1.13
23.0,6.0,47.0,0.49
26.0,3.0,46.0,0.49
21.0,3.0,52.0,-1.29
19.0,7.0,42.0,1.32
23.0,7.0,43.0,0.91
24.0,2.0,45.0,-0.51
20.0,3.0,55.0,-1.97
20.0,3.0,55.0,-1.84
17.0,1.0,58.0,-2.29
18.0,0.0,50.0,-1.26
18.0,0.0,50.0,-1.26
38.0,8.0,10.0,4.29
27.0,4.0,14.0,3.53
21.0,7.0,9.0,4.84
25.0,13.0,8.0,5.21
13.0,7.0,7.0,5.07
14.0,8.0,7.0,5.78
18.0,4.0,55.0,2.29
81.0,-2.0,37.0,1.94
90.0,-8.0,40.0,2.35
62.0,3.0,40.0,0.69
20.0,5.0,60.0,2.46
22.0,3.0,59.0,0.18
20.0,3.0,45.0,2.41
40.0,4.0,40.0,2.94
29.0,-5.0,20.0,2.44
36.0,5.0,27.0,2.05
31.0,3.0,41.0,0.15
31.0,3.0,41.0,0.4
31.0,3.0,41.0,0.46
13.0,2.0,69.0,-1.19
13.0,2.0,61.0,-2.39
13.0,2.0,69.0,-1.04
13.0,1.0,69.0,-2.26
32.0,5.0,43.0,0.19
33.0,4.0,45.0,0.36
14.0,2.0,57.0,-1.09
14.0,2.0,57.0,-1.16
14.0,2.0,57.0,-1.22
14.0,2.0,71.0,-1.99
25.0,4.0,52.0,-0.02
25.0,4.0,52.0,-0.15
20.0,3.0,65.0,-1.13
31.0,3.0,48.0,0.15
23.0,2.0,52.0,-1.1
20.0,2.0,50.0,-1.69
43.0,5.0,25.0,3.58
39.0,7.0,35.0,2.0
43.0,10.0,34.0,1.37
38.0,7.0,36.0,0.73
38.0,7.0,36.0,1.08
38.0,7.0,36.0,0.75
38.0,6.0,36.0,1.0
38.0,5.0,31.0,0.83
47.0,4.0,36.0,0.44
43.0,3.0,37.0,0.26
43.0,3.0,34.0,0.5
44.0,3.0,34.0,1.03
43.0,5.0,37.0,1.14
43.0,4.0,37.0,0.73
43.0,3.0,37.0,0.8
43.0,2.0,34.0,1.19
37.0,0.0,32.0,1.5
37.0,1.0,35.0,0.79
37.0,3.0,35.0,0.97
37.0,5.0,35.0,1.32
44.0,1.0,40.0,0.76
43.0,4.0,37.0,1.45
18.0,3.0,66.0,0.61
18.0,5.0,55.0,2.97
21.0,4.0,33.0,1.98
13.0,1.0,61.0,-1.74
10.0,2.0,50.0,-0.56
24.0,4.0,62.0,-0.76
24.0,4.0,62.0,-0.65
24.0,4.0,62.0,-0.39
16.0,2.0,56.0,-1.99
13.0,2.0,61.0,-1.54
13.0,1.0,61.0,1.25
13.0,2.0,69.0,-2.33
13.0,2.0,69.0,-2.18
14.0,2.0,64.0,-1.33
13.0,0.0,61.0,-1.34
28.0,3.0,50.0,0.43
13.0,3.0,61.0,-1.68
13.0,2.0,69.0,-2.1
13.0,1.0,61.0,-2.15
13.0,2.0,61.0,-2.26
13.0,2.0,53.0,-1.18
13.0,2.0,69.0,-1.92
21.0,3.0,57.0,-1.19
24.0,4.0,62.0,-0.96
38.0,8.0,31.0,2.88
29.0,4.0,44.0,0.65
33.0,3.0,42.0,0.34
33.0,3.0,48.0,0.01
24.0,3.0,62.0,-0.8
32.0,4.0,21.0,3.76
24.0,4.0,62.0,-1.04
24.0,3.0,62.0,-1.29
32.0,4.0,46.0,0.27
28.0,3.0,46.0,0.37
21.0,1.0,9.0,0.35
27.0,7.0,48.0,1.15
24.0,5.0,50.0,-0.32
36.0,7.0,38.0,1.56
37.0,4.0,45.0,0.95
21.0,1.0,52.0,-0.28
34.0,15.0,38.0,2.27
34.0,16.0,38.0,2.24
34.0,15.0,38.0,2.03
13.0,2.0,61.0,-1.99
13.0,1.0,61.0,-1.91
13.0,2.0,61.0,-1.02
20.0,1.0,40.0,-0.17
11.0,5.0,36.0,2.21
11.0,5.0,36.0,2.3
15.0,5.0,33.0,0.71
12.0,5.0,41.0,1.9
14.0,4.0,42.0,2.2
33.0,2.0,42.0,0.0
33.0,3.0,42.0,0.0
33.0,2.0,48.0,-0.33
25.0,1.0,40.0,-0.62
19.0,2.0,63.0,-1.33
30.0,3.0,33.0,1.66
20.0,5.0,40.0,3.01
20.0,6.0,30.0,4.0
45.0,5.0,28.0,3.34
38.0,4.0,36.0,1.27
37.0,4.0,37.0,0.8
50.0,1.0,38.0,1.88
47.0,3.0,31.0,3.32
45.0,2.0,35.0,2.85
47.0,4.0,44.0,1.79
47.0,6.0,36.0,2.27
43.0,2.0,41.0,0.55
37.0,6.0,24.0,2.11
37.0,4.0,27.0,1.37
37.0,2.0,32.0,0.8
58.0,-2.0,60.0,-0.89
35.0,-2.0,51.0,-0.46
70.0,6.0,51.0,0.0
43.0,0.0,34.0,0.57
70.0,3.0,55.0,-0.27
58.0,0.0,62.0,-0.84
33.0,4.0,54.0,0.37
28.0,3.0,50.0,0.5
31.0,3.0,54.0,-0.1
33.0,4.0,54.0,0.14
29.0,3.0,55.0,-0.18
23.0,3.0,43.0,-1.12
30.0,3.0,40.0,0.44
25.0,3.0,52.0,0.4
25.0,4.0,48.0,1.07
28.0,2.0,53.0,0.15
28.0,2.0,57.0,0.12
25.0,3.0,56.0,-0.45
28.0,2.0,53.0,0.15
34.0,2.0,50.0,0.13
33.0,4.0,54.0,0.27
25.0,2.0,60.0,-0.2
33.0,3.0,51.0,0.43
33.0,3.0,54.0,0.34
21.0,2.0,61.0,-0.84
25.0,2.0,56.0,-0.45
25.0,2.0,52.0,-0.33
19.0,2.0,63.0,-0.82
25.0,1.0,60.0,-0.2
31.0,2.0,54.0,-0.03
31.0,3.0,54.0,0.01
28.0,3.0,53.0,0.43
31.0,4.0,48.0,0.83
28.0,1.0,50.0,0.87
30.0,3.0,53.0,-0.35
26.0,4.0,53.0,-0.61
27.0,3.0,51.0,0.42
32.0,2.0,43.0,0.77
27.0,1.0,51.0,0.54
33.0,4.0,57.0,0.26
32.0,4.0,53.0,0.4
33.0,7.0,51.0,0.46
25.0,1.0,56.0,-0.01
19.0,2.0,63.0,-0.76
19.0,0.0,68.0,-1.05
19.0,2.0,57.0,-0.55
18.0,2.0,66.0,-1.79
19.0,2.0,63.0,-1.74
19.0,3.0,57.0,-1.19
19.0,3.0,57.0,-1.42
19.0,2.0,57.0,-1.07
45.0,3.0,33.0,3.52
47.0,6.0,36.0,2.27
40.0,4.0,42.0,1.71
47.0,6.0,46.0,1.71
49.0,5.0,42.0,1.49
50.0,6.0,36.0,2.63
47.0,7.0,38.0,1.62
47.0,7.0,36.0,2.16
48.0,8.0,37.0,1.89
37.0,7.0,27.0,2.91
37.0,6.0,27.0,2.85
46.0,5.0,39.0,1.69
19.0,2.0,21.0,4.48
63.0,8.0,31.0,2.36
66.0,9.0,34.0,2.28
52.0,8.0,28.0,2.95
24.0,2.0,37.0,0.97
7.0,0.0,14.0,3.54
12.0,-2.0,58.0,0.37
34.0,3.0,44.0,0.32
22.0,2.0,45.0,1.14
16.0,3.0,43.0,-0.82
25.0,-1.0,44.0,0.48
27.0,1.0,44.0,1.64
21.0,2.0,38.0,1.28
22.0,2.0,40.0,0.75
18.0,-2.0,72.0,-0.71
42.0,7.0,38.0,2.56
42.0,7.0,38.0,2.52
15.0,5.0,60.0,-0.53
44.0,6.0,31.0,2.01
41.0,8.0,34.0,3.33
25.0,9.0,36.0,2.84
26.0,9.0,38.0,1.46
20.0,6.0,35.0,2.69
20.0,5.0,40.0,2.32
24.0,6.0,33.0,1.76
24.0,6.0,33.0,1.9
28.0,10.0,39.0,2.28
26.0,9.0,38.0,1.53
33.0,5.0,36.0,2.46
34.0,2.0,32.0,2.13
35.0,4.0,34.0,3.46
35.0,4.0,34.0,3.19
31.0,2.0,51.0,0.24
28.0,0.0,42.0,0.49
30.0,2.0,46.0,0.53
30.0,2.0,50.0,0.45
29.0,0.0,37.0,0.7
30.0,-1.0,36.0,0.97
29.0,0.0,37.0,0.7
29.0,0.0,37.0,0.69
29.0,0.0,37.0,0.67
29.0,0.0,41.0,0.5
30.0,-1.0,36.0,0.94
30.0,-1.0,36.0,0.94
37.0,-1.0,37.0,2.02
30.0,0.0,50.0,0.18
30.0,2.0,46.0,0.47
30.0,2.0,46.0,0.44
30.0,2.0,46.0,0.58
30.0,2.0,43.0,0.54
30.0,2.0,46.0,0.16
30.0,2.0,50.0,0.07
30.0,2.0,46.0,0.23
30.0,2.0,46.0,0.47
30.0,2.0,43.0,0.55
31.0,2.0,48.0,0.02
30.0,2.0,43.0,0.52
29.0,-1.0,44.0,0.03
29.0,0.0,37.0,0.67
29.0,-1.0,37.0,0.75
30.0,-2.0,33.0,1.12
30.0,-2.0,33.0,1.12
40.0,4.0,35.0,2.12
30.0,0.0,36.0,0.79
29.0,1.0,37.0,0.8
30.0,-1.0,53.0,-0.17
29.0,1.0,51.0,0.56
30.0,-1.0,40.0,0.61
31.0,0.0,51.0,0.33
30.0,-1.0,36.0,0.98
30.0,2.0,46.0,0.45
31.0,1.0,45.0,1.0
30.0,1.0,46.0,0.85
29.0,2.0,55.0,0.16
30.0,2.0,50.0,0.29
31.0,3.0,35.0,0.78
30.0,-2.0,33.0,0.74
29.0,2.0,34.0,0.57
30.0,2.0,33.0,0.6
30.0,2.0,46.0,0.41
31.0,2.0,48.0,0.09
31.0,1.0,45.0,0.26
30.0,1.0,46.0,0.2
29.0,0.0,37.0,0.59
29.0,0.0,37.0,0.64
31.0,-2.0,32.0,0.9
31.0,0.0,48.0,0.3
33.0,-2.0,33.0,0.34
33.0,-2.0,39.0,0.18
33.0,-2.0,39.0,0.15
30.0,-1.0,50.0,-0.46
30.0,-1.0,53.0,-0.1
31.0,0.0,48.0,0.13
32.0,-1.0,46.0,0.48
32.0,0.0,43.0,1.1
31.0,1.0,41.0,0.09
29.0,-1.0,44.0,0.57
30.0,0.0,40.0,1.56
26.0,0.0,57.0,-0.4
27.0,1.0,48.0,0.86
30.0,2.0,46.0,0.23
28.0,1.0,50.0,0.37
30.0,0.0,46.0,0.11
30.0,0.0,46.0,0.08
29.0,-1.0,41.0,0.7
27.0,0.0,51.0,0.16
27.0,0.0,51.0,0.3
23.0,2.0,56.0,-0.38
27.0,1.0,51.0,0.28
25.0,-1.0,40.0,1.29
27.0,-1.0,44.0,0.65
27.0,2.0,48.0,0.42
26.0,2.0,46.0,1.81
23.0,3.0,56.0,0.29
28.0,1.0,46.0,0.45
26.0,3.0,30.0,2.4
26.0,0.0,53.0,-0.36
27.0,1.0,44.0,0.9
31.0,0.0,35.0,1.19
30.0,-1.0,33.0,1.08
29.0,-2.0,34.0,1.13
28.0,-2.0,42.0,0.89
30.0,-2.0,40.0,0.78
30.0,-2.0,40.0,0.81
29.0,-1.0,37.0,0.58
30.0,-1.0,50.0,0.12
30.0,0.0,50.0,0.05
29.0,0.0,34.0,0.79
29.0,0.0,34.0,0.76
29.0,0.0,41.0,0.51
29.0,1.0,34.0,1.19
30.0,0.0,53.0,-0.35
31.0,2.0,45.0,0.19
31.0,2.0,45.0,0.25
31.0,2.0,48.0,-0.07
30.0,2.0,43.0,0.62
31.0,3.0,48.0,0.13
30.0,2.0,46.0,0.36
23.0,4.0,39.0,0.58
17.0,3.0,52.0,-0.61
22.0,5.0,59.0,-0.63
51.0,8.0,49.0,0.14
31.0,0.0,35.0,1.19
30.0,-1.0,33.0,1.08
30.0,-1.0,33.0,1.08
27.0,3.0,40.0,1.18
33.0,-1.0,36.0,0.61
21.0,-1.0,61.0,-0.9
21.0,-1.0,61.0,-0.94
31.0,1.0,45.0,0.14
31.0,1.0,45.0,0.08
35.0,7.0,42.0,2.81
34.0,4.0,38.0,1.75
30.0,0.0,53.0,-0.2
30.0,2.0,46.0,0.44
33.0,-2.0,36.0,0.73
41.0,4.0,41.0,1.65
41.0,2.0,46.0,0.82
38.0,6.0,50.0,1.19
29.0,0.0,37.0,0.71
36.0,3.0,36.0,2.0
39.0,4.0,33.0,2.2
39.0,5.0,35.0,1.84
62.0,3.0,40.0,1.38
47.0,3.0,38.0,1.15
39.0,3.0,38.0,1.74
26.0,2.0,57.0,-0.61
65.0,9.0,32.0,2.89
18.0,8.0,38.0,1.49
38.0,5.0,42.0,0.87
54.0,0.0,31.0,2.87
74.0,11.0,33.0,3.5
41.0,4.0,41.0,1.43
41.0,3.0,39.0,1.6
41.0,4.0,39.0,1.64
87.0,-3.0,36.0,1.82
41.0,2.0,36.0,2.01
28.0,5.0,35.0,1.03
60.0,4.0,53.0,-0.78
48.0,2.0,41.0,0.07
59.0,1.0,47.0,-0.81
62.0,1.0,48.0,-0.67
45.0,2.0,51.0,-0.96
45.0,2.0,51.0,-0.96
44.0,1.0,52.0,-0.6
33.0,4.0,30.0,0.89
21.0,1.0,57.0,-1.04
30.0,4.0,40.0,1.42
25.0,4.0,36.0,2.8
43.0,5.0,37.0,1.88
23.0,2.0,43.0,0.93
30.0,1.0,33.0,1.09
70.0,11.0,34.0,1.43
44.0,3.0,36.0,1.5
44.0,3.0,36.0,1.5
53.0,4.0,39.0,1.16
58.0,10.0,36.0,1.03
34.0,4.0,44.0,0.71
44.0,6.0,38.0,1.21
44.0,7.0,47.0,0.63
44.0,6.0,52.0,-0.11
44.0,6.0,52.0,-0.07
36.0,-2.0,47.0,0.31
76.0,-4.0,53.0,-0.2
30.0,-1.0,43.0,1.11
22.0,0.0,45.0,1.16
84.0,-4.0,35.0,0.28
44.0,3.0,36.0,1.5
35.0,-2.0,60.0,-1.57
42.0,4.0,33.0,1.12
25.0,0.0,44.0,0.93
27.0,0.0,40.0,0.88
27.0,0.0,40.0,0.49
27.0,2.0,40.0,1.2
26.0,1.0,46.0,0.71
37.0,0.0,48.0,0.1
20.0,-1.0,45.0,-0.5
18.0,4.0,55.0,1.58
18.0,5.0,55.0,2.46
18.0,6.0,55.0,3.34
8.0,2.0,50.0,-0.51
9.0,2.0,44.0,-0.17
9.0,2.0,44.0,0.29
93.0,7.0,23.0,2.34
17.0,4.0,17.0,2.43
39.0,5.0,20.0,1.09
23.0,5.0,52.0,0.62
24.0,4.0,50.0,0.69
24.0,3.0,54.0,0.39
24.0,4.0,50.0,0.74
24.0,4.0,45.0,0.88
24.0,3.0,45.0,0.88
24.0,4.0,45.0,0.82
19.0,4.0,57.0,-0.39
15.0,0.0,93.0,-3.35
15.0,0.0,86.0,-3.15
7.0,1.0,28.0,3.96
43.0,0.0,16.0,0.01
88.0,0.0,39.0,0.56
90.0,-3.0,45.0,0.47
77.0,-2.0,32.0,0.69
60.0,0.0,43.0,-0.79
62.0,-2.0,30.0,1.16
16.0,3.0,31.0,1.7
62.0,1.0,22.0,2.46
51.0,11.0,37.0,3.16
16.0,2.0,56.0,-0.57
16.0,2.0,56.0,-0.69
79.0,6.0,45.0,1.37
30.0,11.0,40.0,2.12
18.0,5.0,72.0,-0.7
15.0,3.0,60.0,-0.34
21.0,1.0,47.0,-1.26
44.0,3.0,31.0,0.71
44.0,3.0,29.0,0.73
90.0,7.0,44.0,1.19
45.0,12.0,37.0,2.85
13.0,1.0,53.0,-0.57
14.0,3.0,64.0,-0.12
14.0,1.0,64.0,-0.77
17.0,5.0,29.0,1.42
17.0,5.0,23.0,1.96
18.0,4.0,38.0,1.4
37.0,4.0,43.0,0.4
37.0,4.0,43.0,0.65
37.0,5.0,40.0,0.56
37.0,5.0,43.0,0.34
37.0,5.0,40.0,0.41
28.0,4.0,53.0,0.82
13.0,1.0,61.0,-1.81
15.0,2.0,60.0,-1.9
16.0,1.0,56.0,-1.07
19.0,2.0,52.0,0.35
13.0,2.0,69.0,-2.29
23.0,6.0,56.0,0.04
14.0,4.0,57.0,-0.67
16.0,2.0,62.0,-0.18
32.0,7.0,34.0,4.31
17.0,2.0,64.0,-2.55
18.0,5.0,55.0,-0.44
19.0,1.0,68.0,-1.06
45.0,5.0,40.0,0.78
46.0,6.0,41.0,1.07
46.0,5.0,41.0,0.89
28.0,2.0,46.0,0.78
28.0,3.0,50.0,0.24
29.0,2.0,44.0,0.21
46.0,6.0,30.0,1.83
46.0,5.0,30.0,2.17
46.0,6.0,28.0,2.19
46.0,6.0,30.0,2.36
46.0,5.0,30.0,1.89
46.0,5.0,28.0,2.29
27.0,4.0,29.0,3.78
46.0,7.0,30.0,2.48
74.0,2.0,43.0,0.28
34.0,7.0,35.0,1.64
30.0,6.0,43.0,2.12
36.0,8.0,22.0,3.13
37.0,6.0,40.0,2.31
35.0,5.0,37.0,1.63
20.0,5.0,40.0,0.99
33.0,2.0,48.0,0.23
33.0,3.0,51.0,0.34
32.0,6.0,37.0,0.9
29.0,3.0,51.0,0.86
13.0,3.0,53.0,1.65
21.0,3.0,52.0,-1.24
20.0,1.0,60.0,-0.87
39.0,8.0,46.0,0.24
28.0,3.0,39.0,1.41
9.0,2.0,11.0,4.87
14.0,2.0,28.0,0.95
24.0,1.0,62.0,-0.22
38.0,2.0,39.0,0.66
14.0,1.0,28.0,1.85
15.0,4.0,33.0,2.89
16.0,1.0,43.0,1.54
12.0,1.0,33.0,0.5
23.0,3.0,43.0,0.52
21.0,1.0,52.0,-1.54
21.0,2.0,47.0,-0.95
21.0,2.0,47.0,-1.17
21.0,1.0,52.0,-1.49
21.0,1.0,47.0,-0.87
37.0,8.0,40.0,1.91
88.0,-6.0,39.0,1.77
