length,net_charge,% Hydrophobe,Boman Index
77.0,-3.0,50.0,0.51
77.0,-2.0,51.0,-0.28
34.0,5.0,35.0,1.56
36.0,4.0,52.0,0.44
41.0,4.0,46.0,1.18
40.0,7.0,37.0,2.5
42.0,4.0,45.0,1.53
45.0,1.0,33.0,1.51
47.0,6.0,38.0,1.92
15.0,3.0,26.0,3.21
17.0,1.0,58.0,-1.87
21.0,3.0,57.0,-1.2
15.0,-1.0,40.0,1.0
47.0,7.0,34.0,3.29
18.0,3.0,66.0,-1.77
19.0,2.0,63.0,-1.23
19.0,2.0,63.0,-1.53
23.0,3.0,47.0,0.99
24.0,3.0,54.0,0.31
24.0,4.0,45.0,0.96
24.0,3.0,45.0,0.67
24.0,4.0,45.0,1.14
29.0,2.0,31.0,1.05
78.0,-2.0,41.0,1.35
84.0,-6.0,52.0,0.25
9.0,1.0,44.0,1.32
11.0,-1.0,45.0,-0.09
8.0,-1.0,37.0,1.25
24.0,4.0,62.0,-0.67
17.0,2.0,64.0,-2.19
14.0,3.0,57.0,-0.77
17.0,3.0,52.0,-0.21
24.0,4.0,62.0,-0.71
19.0,3.0,57.0,-1.07
28.0,1.0,50.0,0.0
28.0,1.0,46.0,0.1
26.0,2.0,53.0,0.06
34.0,5.0,52.0,-0.27
55.0,1.0,9.0,3.67
46.0,7.0,36.0,1.89
8.0,1.0,50.0,0.03
43.0,3.0,51.0,1.49
40.0,3.0,45.0,1.46
40.0,2.0,45.0,1.46
40.0,4.0,47.0,1.73
40.0,2.0,47.0,0.8
40.0,4.0,47.0,1.38
40.0,3.0,47.0,1.0
46.0,0.0,54.0,-0.17
40.0,1.0,52.0,1.2
33.0,3.0,39.0,1.4
43.0,7.0,44.0,2.07
43.0,6.0,41.0,1.81
43.0,5.0,46.0,1.47
42.0,4.0,38.0,1.11
77.0,13.0,27.0,3.03
68.0,6.0,38.0,1.72
83.0,2.0,36.0,1.87
41.0,0.0,34.0,2.03
41.0,-3.0,24.0,2.61
44.0,5.0,31.0,3.82
34.0,7.0,35.0,3.67
37.0,2.0,21.0,3.85
40.0,8.0,37.0,2.51
42.0,-1.0,42.0,0.29
36.0,8.0,33.0,1.67
29.0,-1.0,37.0,-0.58
27.0,2.0,44.0,0.02
23.0,0.0,43.0,-0.65
24.0,-2.0,41.0,0.37
23.0,1.0,43.0,-0.82
23.0,1.0,43.0,-0.79
29.0,4.0,55.0,-0.09
24.0,1.0,62.0,-0.43
33.0,3.0,45.0,0.54
33.0,2.0,48.0,0.11
37.0,3.0,43.0,0.17
30.0,3.0,46.0,0.14
30.0,4.0,50.0,-0.17
33.0,3.0,45.0,0.34
13.0,2.0,69.0,-2.25
17.0,0.0,41.0,-0.25
15.0,0.0,33.0,0.3
23.0,2.0,30.0,2.42
25.0,3.0,52.0,0.07
25.0,2.0,48.0,0.32
25.0,2.0,48.0,0.28
25.0,1.0,48.0,0.16
22.0,0.0,36.0,-2.34
5.0,0.0,60.0,-0.48
29.0,11.0,17.0,3.74
29.0,9.0,20.0,2.85
25.0,3.0,52.0,0.17
32.0,5.0,46.0,0.17
28.0,4.0,50.0,0.38
24.0,4.0,66.0,-1.02
24.0,4.0,66.0,-1.19
24.0,4.0,62.0,-1.0
24.0,3.0,66.0,-1.06
24.0,4.0,66.0,-0.83
24.0,3.0,66.0,-0.78
28.0,3.0,50.0,0.29
46.0,5.0,43.0,0.66
37.0,4.0,48.0,0.13
33.0,3.0,45.0,0.57
33.0,3.0,45.0,0.63
24.0,4.0,66.0,-0.58
24.0,3.0,66.0,-0.54
21.0,2.0,57.0,-1.25
21.0,2.0,57.0,-1.29
30.0,4.0,50.0,0.79
33.0,5.0,51.0,0.4
33.0,4.0,48.0,0.65
33.0,3.0,48.0,0.65
33.0,3.0,48.0,0.51
24.0,4.0,58.0,-0.62
24.0,4.0,62.0,-0.66
13.0,3.0,61.0,-1.61
32.0,4.0,46.0,0.2
24.0,4.0,62.0,-1.01
24.0,3.0,62.0,-1.0
24.0,4.0,62.0,-0.89
20.0,3.0,70.0,-1.27
20.0,3.0,70.0,-1.17
24.0,4.0,62.0,-0.52
35.0,3.0,45.0,0.88
35.0,3.0,45.0,0.78
13.0,2.0,61.0,-1.26
24.0,4.0,66.0,-0.37
24.0,4.0,66.0,-0.84
13.0,2.0,69.0,-2.29
17.0,3.0,64.0,-1.79
20.0,1.0,70.0,-1.34
20.0,2.0,70.0,-1.3
20.0,2.0,70.0,-1.36
20.0,2.0,65.0,-1.02
20.0,3.0,75.0,-1.66
13.0,3.0,46.0,-0.89
14.0,3.0,71.0,-1.1
20.0,6.0,40.0,0.94
23.0,3.0,52.0,-0.28
23.0,3.0,52.0,-0.36
23.0,3.0,52.0,-0.51
23.0,3.0,52.0,0.04
16.0,2.0,56.0,-1.14
17.0,2.0,58.0,-1.65
17.0,2.0,58.0,-1.84
51.0,-1.0,37.0,1.72
15.0,6.0,53.0,0.16
15.0,6.0,53.0,0.1
15.0,6.0,53.0,-0.04
38.0,6.0,34.0,1.91
44.0,3.0,38.0,1.69
45.0,4.0,37.0,1.98
11.0,3.0,36.0,1.57
13.0,2.0,23.0,3.06
9.0,2.0,22.0,2.92
36.0,1.0,25.0,3.0
29.0,2.0,41.0,3.66
37.0,4.0,43.0,1.08
28.0,4.0,35.0,2.48
46.0,0.0,36.0,2.38
52.0,6.0,28.0,2.6
10.0,3.0,30.0,3.48
10.0,2.0,60.0,-0.16
44.0,3.0,18.0,0.06
54.0,3.0,27.0,-0.39
65.0,1.0,27.0,-0.81
48.0,3.0,22.0,-0.24
40.0,1.0,12.0,1.06
49.0,3.0,16.0,0.28
43.0,5.0,11.0,0.92
51.0,6.0,11.0,0.95
47.0,6.0,8.0,1.17
53.0,6.0,5.0,1.02
53.0,4.0,11.0,0.4
30.0,4.0,46.0,0.57
21.0,13.0,0.0,2.7
22.0,2.0,45.0,0.3
13.0,3.0,53.0,-0.96
13.0,2.0,61.0,-1.54
23.0,4.0,65.0,-0.17
24.0,4.0,66.0,-0.62
28.0,3.0,42.0,0.44
28.0,3.0,50.0,0.46
37.0,4.0,48.0,0.28
46.0,7.0,41.0,0.81
37.0,5.0,48.0,0.02
28.0,2.0,46.0,0.54
28.0,3.0,46.0,0.47
28.0,2.0,46.0,0.69
50.0,0.0,38.0,1.99
21.0,5.0,23.0,3.02
25.0,8.0,32.0,2.42
33.0,1.0,39.0,0.59
17.0,2.0,58.0,-1.61
64.0,5.0,31.0,2.24
53.0,7.0,47.0,1.13
40.0,5.0,40.0,2.3
15.0,3.0,53.0,-0.34
14.0,4.0,57.0,-0.75
5.0,-1.0,60.0,-0.27
5.0,-1.0,60.0,-1.31
82.0,-3.0,30.0,1.26
26.0,8.0,34.0,2.87
47.0,1.0,25.0,1.38
75.0,8.0,32.0,2.45
63.0,4.0,41.0,1.37
31.0,5.0,32.0,1.92
31.0,6.0,35.0,1.96
31.0,5.0,38.0,1.45
47.0,3.0,38.0,2.24
22.0,6.0,36.0,2.65
39.0,4.0,17.0,2.18
42.0,5.0,30.0,3.05
40.0,4.0,45.0,1.5
25.0,7.0,40.0,2.22
8.0,2.0,75.0,-0.42
21.0,2.0,52.0,-1.48
21.0,1.0,52.0,-1.55
21.0,2.0,52.0,-1.44
21.0,2.0,52.0,-1.07
21.0,2.0,47.0,-0.71
81.0,-3.0,46.0,1.13
21.0,1.0,52.0,0.15
22.0,2.0,54.0,-0.18
31.0,12.0,41.0,2.89
13.0,2.0,69.0,-1.83
18.0,2.0,55.0,-0.66
32.0,5.0,56.0,0.22
19.0,4.0,57.0,-1.15
42.0,4.0,42.0,1.72
55.0,1.0,52.0,0.4
18.0,7.0,22.0,4.8
44.0,0.0,38.0,1.79
60.0,6.0,33.0,2.57
50.0,7.0,32.0,2.04
47.0,5.0,44.0,1.42
83.0,4.0,30.0,2.26
75.0,4.0,34.0,3.0
86.0,-5.0,29.0,2.83
22.0,3.0,54.0,-0.27
51.0,7.0,33.0,1.97
55.0,5.0,25.0,3.12
57.0,-1.0,26.0,2.55
58.0,4.0,27.0,2.63
39.0,6.0,43.0,1.86
40.0,3.0,47.0,1.2
83.0,-1.0,20.0,1.47
23.0,3.0,17.0,1.95
30.0,10.0,3.0,5.49
24.0,11.0,4.0,6.07
39.0,1.0,35.0,0.81
30.0,-1.0,53.0,-1.05
48.0,6.0,37.0,2.64
51.0,9.0,37.0,1.79
30.0,5.0,40.0,0.96
30.0,3.0,40.0,0.98
96.0,2.0,33.0,2.15
89.0,8.0,33.0,2.26
14.0,2.0,64.0,-1.06
12.0,2.0,25.0,0.94
14.0,3.0,71.0,-0.68
57.0,3.0,42.0,0.94
19.0,2.0,57.0,-0.95
34.0,2.0,35.0,0.9
20.0,2.0,50.0,-0.19
29.0,3.0,34.0,1.12
44.0,5.0,31.0,2.48
45.0,7.0,31.0,2.59
40.0,2.0,37.0,0.47
40.0,2.0,37.0,0.7
50.0,4.0,26.0,2.89
37.0,4.0,37.0,1.54
42.0,8.0,40.0,1.97
45.0,6.0,37.0,3.05
19.0,1.0,36.0,1.32
19.0,1.0,36.0,1.71
19.0,0.0,31.0,1.48
19.0,1.0,36.0,1.82
37.0,9.0,40.0,1.44
48.0,6.0,37.0,2.75
52.0,7.0,36.0,2.15
64.0,2.0,53.0,0.13
19.0,2.0,21.0,0.82
41.0,6.0,43.0,0.5
21.0,0.0,52.0,0.18
96.0,2.0,36.0,1.61
19.0,-1.0,57.0,-0.66
37.0,3.0,48.0,0.44
33.0,2.0,48.0,0.88
33.0,2.0,48.0,0.88
29.0,0.0,41.0,1.55
30.0,0.0,36.0,1.63
22.0,2.0,45.0,0.3
31.0,7.0,38.0,1.16
82.0,6.0,37.0,1.9
24.0,7.0,41.0,2.41
31.0,6.0,35.0,0.73
30.0,5.0,40.0,1.81
24.0,0.0,37.0,0.28
32.0,2.0,40.0,0.9
33.0,0.0,45.0,0.5
20.0,5.0,15.0,3.68
28.0,1.0,46.0,0.85
28.0,4.0,39.0,0.31
34.0,4.0,44.0,1.13
34.0,0.0,29.0,1.29
38.0,7.0,36.0,2.75
38.0,7.0,36.0,2.77
38.0,7.0,39.0,2.94
38.0,5.0,39.0,2.13
38.0,7.0,36.0,3.18
38.0,6.0,36.0,2.9
38.0,8.0,36.0,3.23
22.0,0.0,54.0,-0.63
24.0,13.0,45.0,6.44
14.0,4.0,50.0,1.01
14.0,4.0,57.0,-0.87
14.0,4.0,57.0,-0.19
17.0,4.0,52.0,0.2
17.0,2.0,47.0,0.13
17.0,2.0,52.0,0.2
14.0,1.0,64.0,-0.68
14.0,0.0,64.0,-0.51
74.0,6.0,36.0,3.13
26.0,8.0,46.0,1.75
30.0,5.0,50.0,-0.15
30.0,5.0,53.0,-0.37
41.0,3.0,29.0,1.71
14.0,1.0,35.0,1.67
20.0,2.0,60.0,-0.5
22.0,3.0,45.0,0.28
42.0,8.0,30.0,2.23
60.0,5.0,60.0,-0.63
61.0,2.0,62.0,-0.75
25.0,2.0,56.0,-0.96
25.0,3.0,56.0,-0.82
15.0,2.0,60.0,-1.95
46.0,5.0,43.0,0.6
24.0,1.0,62.0,0.13
18.0,3.0,50.0,1.89
18.0,2.0,33.0,3.1
32.0,7.0,37.0,2.56
30.0,3.0,56.0,0.82
30.0,5.0,53.0,2.01
33.0,8.0,36.0,4.13
32.0,7.0,37.0,3.79
33.0,8.0,33.0,4.32
32.0,7.0,34.0,3.99
33.0,8.0,51.0,2.69
32.0,7.0,53.0,2.31
32.0,7.0,31.0,4.03
30.0,3.0,56.0,0.88
18.0,5.0,55.0,2.91
18.0,4.0,55.0,2.29
18.0,3.0,66.0,0.61
18.0,4.0,66.0,1.24
40.0,-3.0,42.0,0.98
42.0,-3.0,45.0,0.77
21.0,-1.0,28.0,1.92
23.0,-1.0,34.0,0.06
14.0,1.0,50.0,0.29
15.0,3.0,46.0,-0.68
14.0,0.0,57.0,-0.06
25.0,2.0,52.0,0.89
58.0,4.0,34.0,2.68
50.0,3.0,40.0,1.47
51.0,3.0,37.0,1.78
47.0,3.0,31.0,3.24
50.0,3.0,38.0,1.72
50.0,3.0,40.0,1.47
50.0,4.0,40.0,1.55
50.0,5.0,40.0,1.53
50.0,3.0,40.0,1.47
50.0,4.0,40.0,1.49
50.0,3.0,34.0,1.72
50.0,3.0,36.0,1.62
17.0,3.0,52.0,-0.49
24.0,3.0,54.0,1.1
25.0,2.0,56.0,-0.91
22.0,1.0,40.0,0.98
24.0,4.0,25.0,3.21
25.0,4.0,52.0,0.43
88.0,-3.0,45.0,1.2
87.0,-2.0,42.0,1.34
46.0,5.0,43.0,0.57
46.0,6.0,43.0,0.85
37.0,4.0,48.0,0.25
29.0,3.0,48.0,0.62
33.0,3.0,51.0,0.76
33.0,3.0,45.0,0.71
33.0,2.0,45.0,0.25
21.0,2.0,52.0,-1.1
21.0,2.0,52.0,-1.4
32.0,1.0,43.0,0.56
67.0,15.0,4.0,3.83
7.0,2.0,57.0,-0.95
16.0,-1.0,43.0,0.22
37.0,4.0,48.0,0.15
37.0,3.0,54.0,-0.06
16.0,2.0,37.0,1.52
32.0,2.0,50.0,0.38
14.0,6.0,7.0,5.47
24.0,3.0,54.0,-1.05
24.0,3.0,58.0,-1.23
24.0,4.0,66.0,-0.78
19.0,1.0,31.0,1.93
13.0,1.0,61.0,-2.25
13.0,2.0,61.0,-1.81
14.0,2.0,57.0,0.23
18.0,1.0,33.0,1.38
20.0,1.0,30.0,1.19
27.0,4.0,44.0,-0.19
27.0,4.0,40.0,0.04
25.0,3.0,48.0,-0.49
27.0,4.0,40.0,-0.18
27.0,4.0,44.0,-0.19
25.0,3.0,44.0,-0.4
27.0,4.0,44.0,-0.02
20.0,2.0,55.0,-1.81
27.0,4.0,48.0,-0.35
27.0,4.0,48.0,-0.51
22.0,4.0,59.0,-1.42
27.0,4.0,48.0,-0.31
25.0,3.0,48.0,-0.56
27.0,3.0,55.0,-0.63
20.0,3.0,50.0,-1.59
75.0,8.0,33.0,2.36
13.0,1.0,53.0,-1.81
16.0,4.0,43.0,1.37
16.0,3.0,50.0,0.37
32.0,9.0,46.0,1.86
29.0,7.0,51.0,1.63
37.0,8.0,48.0,1.14
52.0,1.0,46.0,0.9
47.0,4.0,42.0,1.18
37.0,6.0,37.0,1.51
37.0,7.0,35.0,1.99
46.0,4.0,28.0,3.01
41.0,7.0,29.0,2.09
29.0,3.0,34.0,1.21
61.0,14.0,6.0,2.42
37.0,4.0,21.0,4.95
43.0,0.0,34.0,0.88
18.0,1.0,22.0,2.14
13.0,0.0,23.0,1.76
10.0,0.0,40.0,-1.1
14.0,-2.0,28.0,1.14
20.0,-2.0,40.0,0.38
61.0,2.0,57.0,-0.58
37.0,3.0,32.0,2.68
20.0,8.0,45.0,2.43
17.0,7.0,47.0,2.63
17.0,3.0,64.0,-1.39
50.0,0.0,40.0,1.6
50.0,1.0,40.0,1.56
30.0,2.0,46.0,0.27
30.0,-1.0,36.0,1.22
29.0,-1.0,41.0,0.37
30.0,2.0,50.0,0.25
24.0,2.0,54.0,0.69
29.0,3.0,48.0,0.98
29.0,3.0,48.0,0.94
29.0,3.0,48.0,0.7
21.0,2.0,52.0,-1.15
24.0,3.0,58.0,-0.15
29.0,0.0,37.0,0.74
30.0,-1.0,36.0,0.86
18.0,3.0,55.0,0.21
18.0,3.0,55.0,0.73
43.0,2.0,41.0,0.6
40.0,4.0,45.0,1.04
40.0,6.0,37.0,1.84
19.0,3.0,57.0,-1.25
75.0,3.0,36.0,1.66
76.0,4.0,35.0,1.47
15.0,2.0,60.0,0.0
41.0,5.0,46.0,1.13
42.0,3.0,50.0,-0.37
36.0,4.0,44.0,0.94
77.0,2.0,18.0,4.05
36.0,14.0,33.0,2.59
36.0,8.0,30.0,3.13
34.0,9.0,32.0,2.63
22.0,4.0,27.0,2.51
11.0,-1.0,45.0,1.02
30.0,9.0,50.0,1.94
9.0,-1.0,55.0,0.66
29.0,0.0,41.0,0.52
29.0,0.0,37.0,0.55
31.0,2.0,48.0,0.0
30.0,1.0,46.0,0.3
31.0,1.0,48.0,0.03
31.0,1.0,48.0,-0.09
31.0,1.0,48.0,0.01
30.0,1.0,46.0,0.74
10.0,4.0,70.0,-0.75
48.0,5.0,47.0,1.44
50.0,3.0,34.0,1.77
51.0,4.0,39.0,1.82
50.0,2.0,34.0,1.88
51.0,5.0,39.0,2.01
24.0,1.0,66.0,-0.38
24.0,1.0,62.0,-0.22
24.0,3.0,66.0,-0.44
23.0,1.0,60.0,-0.24
18.0,5.0,50.0,1.07
24.0,0.0,58.0,0.12
24.0,1.0,58.0,0.04
24.0,2.0,62.0,-0.43
24.0,0.0,62.0,-0.38
24.0,1.0,62.0,-0.18
24.0,0.0,62.0,-0.38
24.0,0.0,62.0,-0.38
24.0,2.0,66.0,-0.91
23.0,1.0,65.0,-0.32
33.0,3.0,51.0,0.39
33.0,3.0,51.0,0.39
33.0,3.0,51.0,0.3
33.0,1.0,48.0,0.51
33.0,2.0,48.0,0.44
33.0,1.0,45.0,0.37
33.0,2.0,42.0,0.57
33.0,1.0,42.0,0.72
15.0,3.0,46.0,0.87
33.0,3.0,48.0,0.49
33.0,3.0,48.0,0.47
33.0,2.0,45.0,0.46
33.0,1.0,45.0,0.58
33.0,2.0,45.0,0.91
33.0,3.0,48.0,0.47
13.0,5.0,30.0,4.22
33.0,2.0,45.0,0.95
33.0,2.0,45.0,0.95
33.0,2.0,45.0,0.6
33.0,2.0,45.0,0.6
33.0,3.0,48.0,0.41
46.0,6.0,47.0,0.14
46.0,5.0,41.0,0.68
46.0,5.0,47.0,0.23
46.0,5.0,47.0,0.21
46.0,6.0,47.0,0.19
17.0,3.0,58.0,0.82
46.0,5.0,43.0,0.7
17.0,3.0,64.0,0.43
46.0,7.0,43.0,0.93
46.0,4.0,43.0,0.62
46.0,5.0,43.0,0.7
37.0,4.0,48.0,0.11
37.0,5.0,43.0,0.57
29.0,3.0,48.0,0.59
20.0,1.0,45.0,0.4
37.0,4.0,43.0,0.16
37.0,3.0,43.0,0.17
37.0,2.0,43.0,0.17
37.0,4.0,43.0,0.14
20.0,0.0,50.0,-0.37
21.0,2.0,52.0,-1.52
21.0,2.0,47.0,-0.56
21.0,3.0,57.0,-1.47
21.0,2.0,52.0,-1.56
21.0,1.0,57.0,-1.93
21.0,1.0,57.0,-1.93
20.0,1.0,50.0,-0.17
21.0,2.0,52.0,-1.28
21.0,2.0,52.0,-1.24
21.0,3.0,52.0,-0.89
21.0,1.0,52.0,-1.24
16.0,1.0,31.0,2.2
29.0,3.0,48.0,1.16
29.0,3.0,51.0,0.91
29.0,2.0,44.0,1.48
29.0,3.0,51.0,0.91
16.0,6.0,31.0,2.65
24.0,4.0,37.0,2.27
17.0,3.0,47.0,1.02
24.0,3.0,66.0,-0.8
24.0,4.0,54.0,-0.89
33.0,3.0,45.0,0.73
33.0,3.0,45.0,0.52
48.0,12.0,10.0,3.5
14.0,2.0,64.0,-1.17
12.0,1.0,66.0,-1.0
27.0,3.0,44.0,-0.41
27.0,3.0,48.0,-0.42
27.0,2.0,48.0,-0.37
27.0,2.0,48.0,-0.34
17.0,3.0,47.0,-0.84
17.0,3.0,58.0,-1.08
17.0,3.0,64.0,-1.47
20.0,5.0,35.0,1.61
19.0,3.0,36.0,0.79
19.0,3.0,31.0,0.86
20.0,2.0,35.0,0.75
20.0,3.0,40.0,0.57
19.0,3.0,42.0,0.65
17.0,3.0,41.0,1.26
32.0,0.0,43.0,0.2
30.0,3.0,43.0,1.17
31.0,3.0,41.0,0.45
34.0,-6.0,29.0,4.3
45.0,-4.0,33.0,3.1
22.0,2.0,54.0,-0.48
13.0,2.0,61.0,-2.06
12.0,3.0,50.0,0.19
12.0,4.0,50.0,-0.04
17.0,2.0,64.0,-2.35
28.0,2.0,50.0,1.05
23.0,3.0,52.0,-0.53
33.0,4.0,45.0,0.78
33.0,4.0,45.0,0.75
37.0,5.0,51.0,0.4
37.0,5.0,48.0,0.56
16.0,2.0,56.0,-1.85
16.0,2.0,62.0,-2.27
16.0,2.0,56.0,-1.87
16.0,2.0,68.0,-2.67
16.0,2.0,50.0,-1.47
13.0,2.0,61.0,-2.11
13.0,2.0,69.0,-2.6
10.0,2.0,60.0,-1.67
19.0,3.0,47.0,1.11
19.0,3.0,36.0,1.56
16.0,1.0,37.0,1.64
16.0,1.0,43.0,2.81
21.0,2.0,38.0,1.82
31.0,4.0,45.0,0.84
24.0,4.0,62.0,-1.23
24.0,4.0,58.0,-1.06
24.0,4.0,58.0,-1.08
33.0,4.0,45.0,1.03
33.0,4.0,48.0,0.85
33.0,5.0,45.0,0.97
17.0,2.0,64.0,-2.41
17.0,3.0,58.0,-1.3
21.0,3.0,61.0,-0.54
21.0,4.0,57.0,0.36
50.0,2.0,36.0,1.01
13.0,4.0,61.0,-1.23
17.0,4.0,41.0,2.17
27.0,9.0,48.0,0.52
14.0,3.0,64.0,0.13
14.0,3.0,57.0,-0.19
24.0,4.0,62.0,-0.65
24.0,4.0,62.0,-0.69
49.0,-1.0,36.0,1.67
29.0,6.0,48.0,0.47
29.0,4.0,48.0,-0.06
28.0,4.0,53.0,-0.18
28.0,4.0,53.0,-0.14
28.0,4.0,46.0,-0.1
19.0,0.0,31.0,-1.0
20.0,-3.0,35.0,0.13
33.0,2.0,48.0,0.5
27.0,4.0,55.0,0.94
52.0,4.0,51.0,-0.13
21.0,0.0,23.0,1.83
18.0,2.0,44.0,1.92
43.0,3.0,51.0,0.96
